Scenario ID,Scenario,Method,Mean Estimate,Bias,RMSE,Coverage,CI Width
31,"n=1000, prev=0.7, high, weak",ACS-Knee,N/A,0.0375,0.1273,0.924,0.3353
31,"n=1000, prev=0.7, high, weak",ACS-Weighted,N/A,0.0472,0.1310,0.906,0.3346
31,"n=1000, prev=0.7, high, weak",Fixed-0.1,N/A,0.0057,0.1211,0.949,0.3405
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,N/A,0.0092,0.1209,0.954,0.3384
31,"n=1000, prev=0.7, high, weak",Fixed-0.5,N/A,0.0300,0.1229,0.938,0.3360
31,"n=1000, prev=0.7, high, weak",No Caliper,N/A,0.2560,0.2856,0.190,0.3443
32,"n=1000, prev=0.7, high, strong",ACS-Balance,N/A,0.1289,0.1985,0.782,0.4304
32,"n=1000, prev=0.7, high, strong",ACS-Knee,N/A,0.1020,0.1892,0.836,0.4298
32,"n=1000, prev=0.7, high, strong",ACS-Weighted,N/A,0.1426,0.2160,0.725,0.4304
32,"n=1000, prev=0.7, high, strong",Fixed-0.1,N/A,0.0050,0.1423,0.985,0.4345
32,"n=1000, prev=0.7, high, strong",Fixed-0.2,N/A,0.0159,0.1419,0.989,0.4318
32,"n=1000, prev=0.7, high, strong",Fixed-0.5,N/A,0.0884,0.1666,0.924,0.4298
32,"n=1000, prev=0.7, high, strong",No Caliper,N/A,0.8550,0.8797,0.000,0.5236
33,"n=1000, prev=0.7, medium, weak",ACS-Balance,N/A,0.0372,0.1323,0.937,0.3554
33,"n=1000, prev=0.7, medium, weak",ACS-Knee,N/A,0.0748,0.1613,0.810,0.3506
33,"n=1000, prev=0.7, medium, weak",ACS-Weighted,N/A,0.1222,0.1781,0.700,0.3416
33,"n=1000, prev=0.7, medium, weak",Fixed-0.1,N/A,-0.0016,0.1307,0.951,0.3656
33,"n=1000, prev=0.7, medium, weak",Fixed-0.2,N/A,0.0051,0.1295,0.962,0.3630
33,"n=1000, prev=0.7, medium, weak",Fixed-0.5,N/A,0.0400,0.1319,0.941,0.3543
33,"n=1000, prev=0.7, medium, weak",No Caliper,N/A,0.4311,0.4492,0.001,0.3478
34,"n=1000, prev=0.7, medium, strong",ACS-Balance,N/A,0.1328,0.2056,0.802,0.4469
34,"n=1000, prev=0.7, medium, strong",ACS-Knee,N/A,0.2415,0.3607,0.570,0.4461
34,"n=1000, prev=0.7, medium, strong",ACS-Weighted,N/A,0.4129,0.4588,0.094,0.4394
34,"n=1000, prev=0.7, medium, strong",Fixed-0.1,N/A,0.0044,0.1520,0.980,0.4571
34,"n=1000, prev=0.7, medium, strong",Fixed-0.2,N/A,0.0223,0.1518,0.979,0.4538
34,"n=1000, prev=0.7, medium, strong",Fixed-0.5,N/A,0.1411,0.2042,0.818,0.4463
34,"n=1000, prev=0.7, medium, strong",No Caliper,N/A,1.4558,1.4706,0.000,0.5476
35,"n=1000, prev=0.7, low, weak",ACS-Balance,N/A,0.0375,0.1474,0.933,0.4012
35,"n=1000, prev=0.7, low, weak",ACS-Knee,N/A,0.1176,0.2123,0.701,0.3820
35,"n=1000, prev=0.7, low, weak",ACS-Weighted,N/A,0.2205,0.2652,0.382,0.3531
35,"n=1000, prev=0.7, low, weak",Fixed-0.1,N/A,0.0072,0.1472,0.948,0.4166
35,"n=1000, prev=0.7, low, weak",Fixed-0.2,N/A,0.0157,0.1453,0.949,0.4115
35,"n=1000, prev=0.7, low, weak",Fixed-0.5,N/A,0.0624,0.1511,0.911,0.3909
35,"n=1000, prev=0.7, low, weak",No Caliper,N/A,0.5713,0.5848,0.000,0.3479
36,"n=1000, prev=0.7, low, strong",ACS-Balance,N/A,0.1081,0.2059,0.873,0.5015
36,"n=1000, prev=0.7, low, strong",ACS-Knee,N/A,0.3689,0.5523,0.536,0.4848
36,"n=1000, prev=0.7, low, strong",ACS-Weighted,N/A,0.7149,0.7741,0.016,0.4589
36,"n=1000, prev=0.7, low, strong",Fixed-0.1,N/A,0.0030,0.1705,0.986,0.5169
36,"n=1000, prev=0.7, low, strong",Fixed-0.2,N/A,0.0317,0.1715,0.974,0.5116
36,"n=1000, prev=0.7, low, strong",Fixed-0.5,N/A,0.1938,0.2528,0.691,0.4911
36,"n=1000, prev=0.7, low, strong",No Caliper,N/A,1.9090,1.9193,0.000,0.5487
37,"n=2000, prev=0.3, high, weak",ACS-Balance,N/A,0.0128,0.0841,0.957,0.2339
37,"n=2000, prev=0.3, high, weak",ACS-Knee,N/A,0.0054,0.0836,0.957,0.2350
37,"n=2000, prev=0.3, high, weak",ACS-Weighted,N/A,0.0075,0.0837,0.954,0.2346
37,"n=2000, prev=0.3, high, weak",Fixed-0.1,N/A,-0.0025,0.0845,0.965,0.2381
37,"n=2000, prev=0.3, high, weak",Fixed-0.2,N/A,-0.0020,0.0841,0.959,0.2372
37,"n=2000, prev=0.3, high, weak",Fixed-0.5,N/A,0.0014,0.0836,0.958,0.2359
37,"n=2000, prev=0.3, high, weak",No Caliper,N/A,0.0133,0.0842,0.957,0.2338
38,"n=2000, prev=0.3, high, strong",ACS-Balance,N/A,0.0484,0.1142,0.925,0.2970
38,"n=2000, prev=0.3, high, strong",ACS-Knee,N/A,0.0276,0.1050,0.963,0.2970
38,"n=2000, prev=0.3, high, strong",ACS-Weighted,N/A,0.0327,0.1070,0.946,0.2968
38,"n=2000, prev=0.3, high, strong",Fixed-0.1,N/A,0.0009,0.1012,0.978,0.3000
38,"n=2000, prev=0.3, high, strong",Fixed-0.2,N/A,0.0023,0.1007,0.977,0.2989
38,"n=2000, prev=0.3, high, strong",Fixed-0.5,N/A,0.0121,0.1010,0.972,0.2975
38,"n=2000, prev=0.3, high, strong",No Caliper,N/A,0.0502,0.1153,0.921,0.2972
39,"n=2000, prev=0.3, medium, weak",ACS-Balance,N/A,0.0510,0.1021,0.876,0.2426
39,"n=2000, prev=0.3, medium, weak",ACS-Knee,N/A,0.0247,0.0945,0.926,0.2488
39,"n=2000, prev=0.3, medium, weak",ACS-Weighted,N/A,0.0442,0.1001,0.889,0.2442
