Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
4,"n=500, prev=0.3, medium, strong",ACS-Balance,131.4,N/A,0.876,0.095,0.0983,0.1443,0.2425,N/A,0.913
4,"n=500, prev=0.3, medium, strong",ACS-Knee,134.4,N/A,0.896,0.107,0.1328,0.1644,0.2602,N/A,0.874
4,"n=500, prev=0.3, medium, strong",ACS-Weighted,138.8,N/A,0.925,0.115,0.1898,0.2070,0.2965,N/A,0.782
4,"n=500, prev=0.3, medium, strong",Fixed-0.1,119.8,N/A,0.799,0.105,-0.0011,0.1157,0.2233,N/A,0.979
4,"n=500, prev=0.3, medium, strong",Fixed-0.2,122.5,N/A,0.817,0.101,0.0057,0.1147,0.2212,N/A,0.975
4,"n=500, prev=0.3, medium, strong",Fixed-0.5,128.3,N/A,0.856,0.100,0.0553,0.1219,0.2243,N/A,0.961
4,"n=500, prev=0.3, medium, strong",No Caliper,150.2,N/A,1.000,0.189,0.3838,0.3849,0.4550,N/A,0.369
5,"n=500, prev=0.3, low, weak",ACS-Balance,102.7,N/A,0.683,0.100,0.0328,0.1197,0.2075,N/A,0.940
5,"n=500, prev=0.3, low, weak",ACS-Knee,112.7,N/A,0.750,0.141,0.0675,0.1263,0.2085,N/A,0.913
5,"n=500, prev=0.3, low, weak",ACS-Weighted,123.0,N/A,0.818,0.169,0.1044,0.1417,0.2184,N/A,0.853
5,"n=500, prev=0.3, low, weak",Fixed-0.1,93.8,N/A,0.624,0.122,0.0080,0.1212,0.2132,N/A,0.953
5,"n=500, prev=0.3, low, weak",Fixed-0.2,96.3,N/A,0.641,0.119,0.0120,0.1187,0.2099,N/A,0.957
5,"n=500, prev=0.3, low, weak",Fixed-0.5,105.7,N/A,0.703,0.127,0.0392,0.1174,0.2042,N/A,0.947
5,"n=500, prev=0.3, low, weak",No Caliper,150.5,N/A,1.000,0.352,0.2393,0.2413,0.2945,N/A,0.505
6,"n=500, prev=0.3, low, strong",ACS-Balance,102.5,N/A,0.684,0.099,0.0941,0.1526,0.2639,N/A,0.940
6,"n=500, prev=0.3, low, strong",ACS-Knee,111.9,N/A,0.747,0.138,0.2097,0.2373,0.3391,N/A,0.753
6,"n=500, prev=0.3, low, strong",ACS-Weighted,122.6,N/A,0.818,0.169,0.3472,0.3536,0.4449,N/A,0.517
6,"n=500, prev=0.3, low, strong",Fixed-0.1,93.5,N/A,0.624,0.123,0.0068,0.1281,0.2503,N/A,0.977
6,"n=500, prev=0.3, low, strong",Fixed-0.2,96.2,N/A,0.642,0.118,0.0221,0.1278,0.2485,N/A,0.975
6,"n=500, prev=0.3, low, strong",Fixed-0.5,105.4,N/A,0.703,0.125,0.1198,0.1572,0.2664,N/A,0.936
6,"n=500, prev=0.3, low, strong",No Caliper,150.1,N/A,1.000,0.354,0.8077,0.8077,0.8449,N/A,0.004
7,"n=500, prev=0.5, high, weak",ACS-Balance,204.7,N/A,0.848,0.088,0.0448,0.0860,0.1502,N/A,0.933
