Scenario_ID,Scenario,Best_Method,Caliper,Max_Abs_SMD,Retention,N_Matched,RMSE
45,"n=2000, prev=0.5, medium, weak",ACS-Balance,0.718,0.09055732615470939,0.6901069978488557,679.196,0.09584687996670864
46,"n=2000, prev=0.5, medium, strong",ACS-Balance,0.714,0.09060815093710868,0.6887845304899524,677.544,0.21495658600571405
47,"n=2000, prev=0.5, low, weak",ACS-Balance,0.515,0.08963397181210188,0.5229852067778501,515.709,0.10413815778281299
48,"n=2000, prev=0.5, low, strong",ACS-Balance,0.511,0.08914606264752657,0.5217880459560023,514.335,0.19888467011569066
49,"n=2000, prev=0.7, high, weak",ACS-Balance,0.739,0.08676228320573227,0.9934499926280663,595.472,0.098191075690341
50,"n=2000, prev=0.7, high, strong",ACS-Balance,0.730,0.08651205083676974,0.9928123548143756,596.421,0.20549645921315166
51,"n=2000, prev=0.7, medium, weak",ACS-Balance,0.552,0.08957772743258785,0.8844359507240206,530.272,0.10275102999190523
52,"n=2000, prev=0.7, medium, strong",ACS-Balance,0.553,0.08951028135787313,0.8844471859886879,529.453,0.2035816656689757
53,"n=2000, prev=0.7, low, weak",ACS-Balance,0.433,0.09050155281876025,0.7048020919513193,422.94,0.10979537156656147
54,"n=2000, prev=0.7, low, strong",ACS-Balance,0.428,0.09031290847053972,0.7051856725231068,422.796,0.19639098337506547
